TAXONOMIC_NAME,LmaxCorrect,Kvb_correct,Lmat_correct,Lifespan_correct,agemat,territorial
Trachinops caudimaculatus,15,,,,,
Notolabrus tetricus,50,0.2,,11,,
Pempheris multiradiata,25,,,,,
Acanthaluteres vittiger,40,1.4,,4,,
Neoodax balteatus,15,,,,,
Caesioperca rasor,25,,,,,
Notolabrus fucicola,40,0.12,,18,,
Dinolestes lewini,50,,,,,
Scorpaena papillosa,25,,,,,
Pictilabrus laticlavius,30,0.45,,10,,
Trinorfolkia clarkei,15,,,,,
Latridopsis forsteri,62,,,,,
Siphonognathus beddomei,20,,,,,
Pseudolabrus mortonii,30,0.31,,11,,
Meuschenia australis,40,0.32,,9,,
Dotalabrus aurantiacus,15,,,,,
Diodon nicthemerus,35,,,,,
Cheilodactylus spectabilis,87.5,0.2,32,80,3,2
Heteroclinus johnstoni,35,,,,,
Olisthops cyanomelas,62.5,,,,,
Pseudophycis bachus,50,,,,,
Urolophus cruciatus,50,,,,,
Meuschenia freycineti,55,,,,,
Aracana aurita,20,,,,,
Upeneichthys vlamingii,40,,,,,
Aplodactylus arctidens,75,,,,,
Atypichthys strigatus,12.5,,,,,
Cephaloscyllium laticeps,150,,,,,
Scorpis lineolata,30,,,,,
Vincentia conspersa,15,,,,,
Girella zebra,50,,,,,
Parma microlepis,20,,,,,
Pentaceropsis recurvirostris,50,,,,,
Pseudolabrus rubicundus,19.2,,,,,
Caesioperca lepidoptera,30,,,,,
Scorpis aequipinnis,40,,,,,
Trachurus declivis,64,,,,,
Forsterygion varium,13,,,,,
Cheilodactylus nigripes,40,,,,,
Neosebastes scorpaenoides,40,,,,,
