TAXONOMIC_NAME,FAMILY,Lmax,Linf,K,Kyears,M,Lifespan,GenerationTime,AgeMat,Lmat,LmaxYields,Wmax,MaxN_prot,Repr,Fecundity,Resilience,Main food,Trophic level,QB
Abalistes filamentosus,Balistidae,32.5,34,0.29,0.56,,9.8,2.8,2.5,19.8,21,,,,,Medium; decline threshold,,,times the body weight per year
Abalistes stellaris,Balistidae,60.0,62.2,0.2,0.69,0.42,14.3,4.3,3.3,34.1,39.4,"4,215.0 g",121.2/757.5,,,Medium; decline threshold,mainly animals,3.6,times the body weight per year
Abalistes stellatus,Balistidae,60.0,62.2,0.2,0.69,0.42,14.3,4.3,3.3,34.1,39.4,,,,,Medium; decline threshold,,,times the body weight per year
Ablabys taenianotus,Tetrarogidae,15.0,15.9,0.23,0.87,0.65,12.2,4.7,3.4,10,9.5,,,,,Medium; decline threshold,,0,times the body weight per year
Ablennes hians,Belonidae,140.0,127,0.61,0.18,0.84,4.8,1.7,1,64.7,87,"3,861.0 g",110.7/691.9,nonguarders: open water/substratum egg scatterers,,High; decline threshold,mainly animals,4.5+/- s.e. 0.8,times the body weight per year
Abudefduf bengalensis,Pomacentridae,17.0,18,0.42,0.45,0.99,6.7,2.6,1.9,11.2,10.8,,,,,High; decline threshold,mainly animals,3.1+/- s.e. 0.46,times the body weight per year
Abudefduf saxatilis,Pomacentridae,22.9,24.1,0.32,0.55,0.62,8.8,2.4,2.4,14.6,14.7,349.0 g,9.3/58.1,,,High; decline threshold,plants/detritus+animals,3.8+/- s.e. 0.17,times the body weight per year
Abudefduf septemfasciatus,Pomacentridae,23.0,24.2,0.32,0.55,0.75,8.8,2.4,2.3,14.6,14.7,,,,,High; decline threshold,mainly animals,3+/- s.e. 0.38,times the body weight per year
Abudefduf sexfasciatus,Pomacentridae,19.0,20.1,0.38,0.48,0.89,7.4,2.8,2,12.4,12.1,273.0 g,7.2/45.0,,,High; decline threshold,plants/detritus+animals,2.7+/- s.e. 0.3,times the body weight per year
Abudefduf sordidus,Pomacentridae,24.0,25.3,0.3,0.58,0.71,9.4,2.5,2.5,15.2,15.4,"1,037.0 g",28.6/178.8,,,Medium; decline threshold,plants/detritus+animals,2.9,times the body weight per year
Abudefduf vaigiensis,Pomacentridae,20.0,18.9,0.85,0.21,1.72,3.3,1.3,0.9,11.7,11.4,112.5 g,2.9/18.1,guarders: nesters,,High; decline threshold,plants/detritus+animals,2.6+/- s.e. 0.4,times the body weight per year
Abudefduf whitleyi,Pomacentridae,14.0,14.9,0.42,0.47,,6.7,2.6,1.9,9.4,8.9,108.0 g,2.8/17.5,,,High; decline threshold,mainly animals,2.6+/- s.e. 0.29,times the body weight per year
Acanthaluteres brownii,Monacanthidae,55.0,57.1,0.17,0.84,0.32,16.8,5,3.9,31.6,36,,,,,Medium; decline threshold,,,times the body weight per year
Acanthaluteres spilomelanurus,Monacanthidae,14.0,14.9,0.61,0.32,1.13,4.6,1.8,1.3,9.4,8.9,,,,,High; decline threshold,,0,times the body weight per year
Acanthaluteres vittiger,Monacanthidae,35.0,36.6,0.26,0.61,0.48,10.9,3.1,2.7,21.2,22.7,,,,,Medium; decline threshold,mainly plants/detritus,2,times the body weight per year
Acanthaphritis barbata,Percophidae,10.0,10.7,0.77,0.28,,3.6,1.5,1.1,7,6.3,,,,,High; decline threshold,,,times the body weight per year
Acanthaphritis ozawai,Percophidae,10.8,11.5,0.71,0.3,,3.9,1.6,1.2,7.5,6.8,,,,,High; decline threshold,,,times the body weight per year
Acanthistius cinctus,Serranidae,50.0,52,0.21,0.69,0.32,13.6,4,3.2,29,32.7,,,,,Medium; decline threshold,,,times the body weight per year
Acanthistius ocellatus,Serranidae,45.0,46.9,0.23,0.65,0.35,12.4,3.6,3,26.5,29.3,,,,,Medium; decline threshold,,,times the body weight per year
Acanthistius serratus,Serranidae,50.0,52,0.21,0.69,0.32,13.6,4,3.2,29,32.7,,,,,Medium; decline threshold,,,times the body weight per year
Acanthocepola abbreviata,Cepolidae,30.0,31.5,0.44,0.37,0.89,6.4,1.8,1.6,18.5,19.4,73.2 g,1.9/11.9,,,High; decline threshold,mainly animals,3.4+/- s.e. 0.45,times the body weight per year
Acanthocepola krusensternii,Cepolidae,40.0,41.7,0.34,0.44,0.69,8.4,2.4,2,23.8,26,,,,,High; decline threshold,,0,times the body weight per year
Acanthocepola limbata,Cepolidae,50.0,52,0.27,0.53,0.39,10.6,3.1,2.5,29,32.7,,,,,Medium; decline threshold,,,times the body weight per year
Acanthochaenus luetkenii,Stephanoberycidae,14.1,13.6,0.41,0.49,0.77,6.8,2.7,2,8.7,8.4,,,,,High; decline threshold,mainly animals,3.5+/- s.e. 0.6,times the body weight per year
