Name,biom_1990s,abun_1990s,bio_last5y,abun_last5y,relativeBio,relativeBioLog,relativeAbun,dont_know,relative_size_change
A_arctidens,110.19,0.11,234.75,0.28,1.13,0.33,1.58,0.58,
Boarfish,29,0.03,81.49,0.13,1.81,0.45,2.78,0.6,
C_laticeps,93.56,0.03,172.57,0.06,0.84,0.27,1.04,0.79,
C_rasor,374.34,5.34,872.89,7.13,1.33,0.37,0.34,1.17,0.275738463
C_spectabilis,503.87,0.37,366.07,0.47,-0.27,-0.14,0.25,0.78,-0.121410182
D_lewini,163.68,2.44,1151.46,8.9,6.03,0.85,2.64,2.45,0.174931217
L_forsteri,326.57,0.55,535.25,1.12,0.64,0.21,1.02,-0.2,-0.148545851
leatherjack,387.96,2.5,393.24,6.36,0.01,0.01,1.54,2.02,-0.352453528
lobsters,689.85,4.6,744.47,4.96,0.08,0.03,0.08,1.05,
M_freycineti,63.22,0.08,73.13,0.16,0.16,0.06,1.18,0.7,
Notolabrus,1020.05,5.73,1592.97,10.42,0.56,0.19,0.82,1.34,-0.202014644
O_cyanomelas,49.45,0.26,305.41,0.71,5.18,0.79,1.73,0.25,0.054444847
P_bachus,40.08,0.13,5,0.02,-0.88,-0.9,-0.87,2.01,
P_laticlavius,201.9,1.79,108.58,1.45,-0.46,-0.27,-0.19,0.64,-0.208669434
T_caudimaculatus,290.03,86.57,825,267.42,1.84,0.45,2.09,1.25,-0.171338031
urchins,1320.93,264.19,919.02,183.8,-0.3,-0.16,-0.3,0.93,
predator,,,,,,,,,
