,TAXONOMIC_NAME,modelName,meanBio,sdBio,meanAbun,sdAbun,newBioModel,newBioSpecies,newSDBioModel,newSDBioSpecies,newAbunModel,newAbunSpecies,newSDAbunModel,newSDAbunSpecies,relativeBio
1,Acanthaluteres vittiger,NA,1253,2139,9,19,NA,2351,NA,4562,NA,29,NA,75,0.88
2,Aplodactylus arctidens,NA,47,257,0,0,NA,160,NA,512,NA,0,NA,1,2.38
3,Caesioperca rasor,NA,524,1592,7,22,NA,2737,NA,8055,NA,22,NA,60,4.22
4,Cephaloscyllium laticeps,NA,73,494,0,0,NA,164,NA,746,NA,0,NA,0,1.24
5,Cheilodactylus spectabilis,NA,580,1705,0,1,NA,407,NA,882,NA,1,NA,1,-0.30
6,Dinolestes lewini,NA,113,671,5,38,NA,834,NA,2130,NA,8,NA,23,6.37
7,Latridopsis forsteri,NA,21,122,0,0,NA,114,NA,395,NA,0,NA,1,4.47
8,Meuschenia australis,NA,152,495,0,1,NA,196,NA,518,NA,4,NA,31,0.30
9,Meuschenia freycineti,NA,107,500,0,1,NA,172,NA,438,NA,0,NA,1,0.62
10,Notolabrus fucicola,NA,821,1001,3,4,NA,1990,NA,3708,NA,8,NA,13,1.42
11,Notolabrus tetricus,NA,889,1018,6,8,NA,3101,NA,4092,NA,19,NA,22,2.49
12,Olisthops cyanomelas,NA,45,126,0,1,NA,856,NA,1279,NA,2,NA,2,18.07
13,Pentaceropsis recurvirostris,NA,16,128,0,0,NA,42,NA,261,NA,0,NA,0,1.61
14,Pictilabrus laticlavius,NA,190,421,2,3,NA,93,NA,158,NA,1,NA,2,-0.51
15,Pseudophycis bachus,NA,24,115,0,0,NA,1,NA,12,NA,0,NA,0,-0.96
16,Trachinops caudimaculatus,NA,283,764,84,203,NA,1014,NA,2193,NA,269,NA,739,2.58
17,NA,A_arctidens,47,257,0,0,160,NA,512,NA,0,NA,1,NA,2.38
18,NA,Boarfish,16,128,0,0,42,NA,261,NA,0,NA,0,NA,1.61
19,NA,C_laticeps,73,494,0,0,164,NA,746,NA,0,NA,0,NA,1.24
20,NA,C_rasor,524,1592,7,22,2737,NA,8055,NA,22,NA,60,NA,4.22
21,NA,C_spectabilis,580,1705,0,1,407,NA,882,NA,1,NA,1,NA,-0.30
22,NA,D_lewini,113,671,5,38,834,NA,2130,NA,8,NA,23,NA,6.37
23,NA,L_forsteri,21,122,0,0,114,NA,395,NA,0,NA,1,NA,4.47
24,NA,leatherjack,702,1647,5,14,1274,NA,3416,NA,16,NA,59,NA,0.81
25,NA,M_freycineti,107,500,0,1,172,NA,438,NA,0,NA,1,NA,0.62
26,NA,Notolabrus,855,1010,5,6,2545,NA,3937,NA,14,NA,19,NA,1.98
27,NA,O_cyanomelas,45,126,0,1,856,NA,1279,NA,2,NA,2,NA,18.07
28,NA,P_bachus,24,115,0,0,1,NA,12,NA,0,NA,0,NA,-0.96
29,NA,P_laticlavius,190,421,2,3,93,NA,158,NA,1,NA,2,NA,-0.51
30,NA,T_caudimaculatus,283,764,84,203,1014,NA,2193,NA,269,NA,739,NA,2.58
31,NA,lobsters,715,1407,5,9,445,NA,1041,NA,3,NA,7,NA,-0.38
32,NA,urchins,1857,2114,371,423,2090,NA,2386,NA,418,NA,477,NA,0.13
