modelName,Taxonomic name,,plotName1,plotName2
C_rasor,Caesioperca rasor,barber_perch,Caesioperca,Caesioperca
C_spectabilis,Cheilodactylus spectabilis,morwong,morwong,Cheilodactylus
D_lewini,Dinolestes lewini,pike,Dinolestes,Dinolestes
L_forsteri,Latridopsis forsteri,trumpeter,trumpeter,Latridopsis
A_arctidens,Aplodactylus arctidens,marblefish,marblefish,Aplodactylus
Notolabrus,Notolabrus tetricus,wrasse,Notolabrus,Notolabrus
Notolabrus,Notolabrus fucicola,wrasse,Notolabrus,Notolabrus
C_laticeps,Cephaloscyllium laticeps,bentiv_shark,Cephaloscyllium,Cephaloscyllium
leatherjack,Meuschenia australis,leatherjackets,leatherjackets,leatherjackets
leatherjack,Acanthaluteres vittiger,leatherjackets,leatherjackets,leatherjackets
P_bachus,Pseudophycis bachus,red_cod,Pseudophycis,Pseudophycis
T_caudimaculatus,Trachinops caudimaculatus,hulafish,hulafish,Trachinops
O_cyanomelas,Olisthops cyanomelas,cale,Olisthops,Olisthops
Boarfish,Pentaceropsis recurvirostris,boarfish,boarfish,Pentaceropsis
M_freycineti,Meuschenia freycineti,leatherjacekts_2,Meuschenia,Meuschenia
P_laticlavius,Pictilabrus laticlavius,wrasse_2,Pictilabrus,Pictilabrus
urchins,,,urchins,urchins
lobsters,,,lobsters,lobsters
predator,,,predator,predator
